"","ldaOut.topics","t1_2","t2_3","V1","V2","V3","V4","V5"
"George_ElizabethCityStateUniv.txt",5,1.51282051282051,1.09859154929577,0.13960113960114,0.0997150997150997,0.222222222222222,0.202279202279202,0.336182336182336
"Goel_GaTech.txt",4,5.48888888888889,1.64634146341463,0.0520446096654275,0.0762081784386617,0.0576208178438662,0.688661710037175,0.12546468401487
"Grace_GAState.txt",1,1.53237410071942,1.3495145631068,0.373684210526316,0.0912280701754386,0.110526315789474,0.243859649122807,0.180701754385965
"Graves_AlabamaHuntsville.txt",3,1.28025477707006,1.65263157894737,0.0883977900552486,0.0773480662983425,0.370165745856354,0.174953959484346,0.289134438305709
"Gutman_Emory.txt",4,1.08187134502924,1.72727272727273,0.27536231884058,0.159420289855072,0.132045088566828,0.297906602254428,0.135265700483092
"Han_TAMU Commerce.txt",5,3.67857142857143,1.23529411764706,0.115789473684211,0.147368421052632,0.0754385964912281,0.119298245614035,0.542105263157895
"Janies_UNCCharlotte.txt",4,2.17687074829932,1.3125,0.206751054852321,0.157524613220816,0.0984528832630098,0.450070323488045,0.0872011251758087
"Jha_UnivCentralFlorida.txt",3,5.28571428571429,1.35483870967742,0.037593984962406,0.126315789473684,0.667669172932331,0.075187969924812,0.0932330827067669
"Jones_UnivofFlorida.txt",4,2.50769230769231,1.3,0.0852017937219731,0.0837070254110613,0.194319880418535,0.48729446935725,0.149476831091181
"Kalidindi_GaTech.txt",2,1.99145299145299,1.06363636363636,0.155309033280507,0.369255150554675,0.115689381933439,0.185419968304279,0.1743264659271
"Kezunovic_TAMU.txt",3,1.4578313253012,1.61165048543689,0.117820324005891,0.12960235640648,0.35640648011782,0.151693667157585,0.244477172312224
"Klein_GaTech.txt",5,2.37614678899083,1.32926829268293,0.132890365448505,0.181063122923588,0.119601328903654,0.136212624584718,0.430232558139535
"Koltes_UnivArkansas.txt",4,4.26271186440678,2.03448275862069,0.0571428571428571,0.153246753246753,0.061038961038961,0.653246753246753,0.0753246753246753
"Kum_TAMU.txt",4,1.60180995475113,1.81147540983607,0.252860411899314,0.085812356979405,0.139588100686499,0.405034324942792,0.116704805491991
"Lacey_Tulane.txt",3,1.56834532374101,1.12096774193548,0.199677938808374,0.115942028985507,0.351046698872786,0.109500805152979,0.223832528180354
"Lary_UTDallas.txt",2,1.1,1,0.196078431372549,0.215686274509804,0.196078431372549,0.196078431372549,0.196078431372549
"Learmonth_UVA.txt",3,2.74418604651163,1.11688311688312,0.124015748031496,0.0905511811023622,0.464566929133858,0.169291338582677,0.151574803149606
"Malin_Vanderbilt.txt",1,1.59487179487179,1.3265306122449,0.344789356984479,0.216186252771619,0.157427937915743,0.118625277161863,0.162971175166297
"Mayorga_NCSU.txt",4,2.05109489051095,1.25688073394495,0.199417758369723,0.112081513828239,0.120815138282387,0.409024745269287,0.158660844250364
"McInnis_VCU.txt",4,2.29885057471264,1.03571428571429,0.176470588235294,0.127789046653144,0.170385395537525,0.405679513184584,0.119675456389452
"Medeiros_UnivCentralFlorida.txt",3,1.13496932515337,1.19852941176471,0.0749625187406297,0.203898050974513,0.27736131934033,0.244377811094453,0.199400299850075
"Michailidis_UnivofFlorida.txt",4,1,1.1,0.192307692307692,0.192307692307692,0.192307692307692,0.211538461538462,0.211538461538462
"Moody_Duke.txt",3,2.0695652173913,1.47435897435897,0.212765957446809,0.126734505087882,0.440333024976873,0.144310823311748,0.0758556891766883
"Pop_UnivofMaryland.txt",4,1.53947368421053,1.26666666666667,0.199004975124378,0.252072968490879,0.066334991708126,0.388059701492537,0.0945273631840796
"Porter_UVA.txt",5,1.45801526717557,2.01538461538462,0.0597014925373134,0.115138592750533,0.279317697228145,0.138592750533049,0.407249466950959
"Priestley_KennesawState.txt",5,2.34210526315789,1.46153846153846,0.198606271777003,0.121951219512195,0.078397212543554,0.13588850174216,0.465156794425087
"Qian_PrarieViewA&M.txt",3,1.56204379562044,1.19130434782609,0.0714285714285714,0.238675958188153,0.372822299651568,0.116724738675958,0.200348432055749
"Qing_UTenn.txt",4,1.03804347826087,2.04444444444444,0.147058823529412,0.119281045751634,0.120915032679739,0.312091503267974,0.300653594771242
"Rajasekar_UNCChapelHill.txt",2,2.79754601226994,1.45535714285714,0.0692737430167598,0.509497206703911,0.113966480446927,0.182122905027933,0.125139664804469
"Ruiz Juri_UTAustin.txt",2,1.13450292397661,1.14765100671141,0.0977337110481586,0.274787535410765,0.211048158640227,0.242209631728045,0.174220963172805
"Sabharwal_Rice.txt",1,2.46428571428571,1.30232558139535,0.450980392156863,0.183006535947712,0.106209150326797,0.140522875816993,0.119281045751634
"Saygin_UTSanAntonio.txt",2,1.89285714285714,1.72307692307692,0.119587628865979,0.437113402061856,0.134020618556701,0.0783505154639175,0.230927835051546
"Schlupp_UnivofOklahoma.txt",5,1.44776119402985,1.08943089430894,0.128813559322034,0.227118644067797,0.106779661016949,0.208474576271186,0.328813559322034
"Skelton_JacksonState.txt",1,1.60843373493976,3.45833333333333,0.50093808630394,0.0619136960600375,0.0356472795497186,0.0900562851782364,0.311444652908068
"Skrzypek_SouthFlorida.txt",3,2.41346153846154,1.04,0.0951526032315978,0.179533213644524,0.450628366247756,0.0879712746858169,0.186714542190305
"Smith_UVA.txt",2,1.49693251533742,1.66326530612245,0.102874432677761,0.369137670196672,0.148260211800303,0.133131618759455,0.246596066565809
"Starly_NCSU.txt",2,2.55038759689922,1.25242718446602,0.158461538461538,0.506153846153846,0.0753846153846154,0.198461538461538,0.0615384615384615
"Swarup_VA Tech.txt",3,2.01363636363636,2.2680412371134,0.0846325167037862,0.0690423162583519,0.493318485523385,0.244988864142539,0.108017817371938
"Thompson_FHI360.txt",3,1.14857142857143,1.80412371134021,0.286415711947627,0.119476268412439,0.328968903436989,0.106382978723404,0.158756137479542
"Tianming_UnivofGeorgia.txt",2,12.5666666666667,1.09090909090909,0.0306553911205074,0.797040169133192,0.0507399577167019,0.0634249471458774,0.0581395348837209
"Tien_GaTech.txt",3,5.5,1.12121212121212,0.0533751962323391,0.116169544740973,0.638932496075353,0.103610675039246,0.0879120879120879
"Wang_Clemson.txt",1,1.9,1.21212121212121,0.38974358974359,0.169230769230769,0.148717948717949,0.205128205128205,0.0871794871794872
"Wang_GaTech.txt",2,1.03272727272727,2.33050847457627,0.0783353733170135,0.347613219094247,0.0930232558139535,0.144430844553244,0.336597307221542
"Zak_TexasTech.txt",5,1.95833333333333,1.14285714285714,0.109792284866469,0.0712166172106825,0.186943620178042,0.213649851632047,0.41839762611276
